 
          26          10   130.39450996249434     
          26          11  -126.42002391508868     
          26          12  -18.089731189029408     
          26          13  -224.40867933805566     
          26          14  -34.263323330262210     
          26          15   9.3469871864654124     
          26          16  -2054.3338793139555     
          26          17  -349.31577192008263     
          26          18   407.16908785724081     
          26          19   2.3753512449220580     
          26          20  -406.20132407720666     
          26          21   299.70978971106524     
          26          22   41.420983371343027     
          26          23  -1154.2595325925358     
          26          24   19.745008850804879     
          26          25   58.541179218085745     
          26          26   0.0000000000000000     

 ---------------------------------
 Culmative Energy,   Detailed Calc Final Energy
 Inter:  -95647.413161385251       -95647.413161348682     
 Intra Nonbonded:   0.0000000000000000        0.0000000000000000     
 Stretch:   0.0000000000000000        0.0000000000000000     
 Bend:   0.0000000000000000        0.0000000000000000     
 Torsional:   0.0000000000000000        0.0000000000000000     
 ---------------------------------
 Cluster Size Histogram:
           1   1515532.0000000000     
           2   1505641.0000000000     
           3   1509844.0000000000     
           4   1401676.0000000000     
           5   1500777.0000000000     
           6   1519859.0000000000     
           7   1453960.0000000000     
           8   1603103.0000000000     
           9   1581376.0000000000     
          10   1518764.0000000000     
          11   1574042.0000000000     
          12   1675275.0000000000     
          13   1768317.0000000000     
          14   1866238.0000000000     
          15   1958666.0000000000     
          16   2079967.0000000000     
          17   2041078.0000000000     
          18   1957299.0000000000     
          19   1906873.0000000000     
          20   1891710.0000000000     
          21   1794194.0000000000     
          22   1610129.0000000000     
          23   1518439.0000000000     
          24   1562578.0000000000     
          25   1646584.0000000000     
          26   1596423.0000000000     
          27   1579685.0000000000     
          28   1553536.0000000000     
          29   1579449.0000000000     
          30   1728986.0000000000     
 ---------------------------------
 Energy Table:
           1  -5806.5756374694938     
           2  -10289.151117794325     
           3  -6772.4547398264949     
           4  -7474.1100424467586     
           5  -8553.9423567700869     
           6  -8089.0553534137234     
           7  -7074.1410252982241     
           8  -6870.7400802993943     
           9  -5245.5263945323513     
          10  -10050.158640672933     
          11  -6593.3243856017216     
          12  -8918.1460941949845     
          13  -10823.918505707879     
          14  -6154.7191758906192     
